building	culture	description	icon	subculture	faction	disables	short_description	display_tooltip
#building_culture_variants_tables;4;db/building_culture_variants_tables/zzz_konquata								
wh2_twa03_special_ogham_stones_1		wh_main_PLACEHOLDER	wh2_twa03_special_albion_ogham_stones	wh_dlc03_sc_bst_beastmen		true	wh2_twa03_special_ogham_stones_1	true
wh2_twa03_special_ogham_stones_2		wh_main_PLACEHOLDER	wh2_twa03_special_albion_ogham_stones	wh_dlc03_sc_bst_beastmen		true	wh2_twa03_special_ogham_stones_2	true
wh2_twa03_special_ogham_stones_3		wh_main_PLACEHOLDER	wh2_twa03_special_albion_ogham_stones	wh_dlc03_sc_bst_beastmen		true	wh2_twa03_special_ogham_stones_3	true
wh2_dlc17_bst_special_settlement_konquata_1	wh_dlc03_bst_beastmen	wh_main_PLACEHOLDER	beastmen_settlement			false	wh2_dlc17_herdstone_beastmen_main_chain_1	true
wh2_dlc17_bst_special_settlement_konquata_2	wh_dlc03_bst_beastmen	wh_main_PLACEHOLDER	beastmen_settlement			false	wh2_dlc17_herdstone_beastmen_main_chain_2	true
wh2_dlc17_bst_special_settlement_konquata_3	wh_dlc03_bst_beastmen	wh_main_PLACEHOLDER	beastmen_settlement			false	wh2_dlc17_herdstone_beastmen_main_chain_4	true
wh2_dlc17_bst_special_settlement_konquata_4	wh_dlc03_bst_beastmen	wh_main_PLACEHOLDER	beastmen_settlement			false	wh2_dlc17_herdstone_beastmen_main_chain_4	true
wh2_dlc17_bst_special_settlement_konquata_5	wh_dlc03_bst_beastmen	wh_main_PLACEHOLDER	beastmen_settlement			false	wh2_dlc17_herdstone_beastmen_main_chain_5	true
wh2_dlc17_bst_special_settlement_konquata_ruin	wh_dlc03_bst_beastmen	wh_main_PLACEHOLDER	wh_main_settlement_default_ruin			false	wh2_dlc17_bst_herdstone_ruins	true
