building	effect	value	effect_scope	value_damaged	value_ruined
#building_effects_junction_tables	3	db/building_effects_junction_tables/zzz_more_slot_texts
wh2_main_special_settlement_skavenblight_5	wh_main_effect_construction_slot_multiple_dummy	11.0	this_building	11.0	11.0
wh2_main_special_settlement_lahmia_hef_5	wh_main_effect_construction_slot_multiple_dummy	9.0	this_building	9.0	9.0
wh2_main_special_settlement_lahmia_hef_4	wh_main_effect_construction_slot_multiple_dummy	8.0	this_building	8.0	8.0
wh2_main_special_settlement_lahmia_hef_3	wh_main_effect_construction_slot_multiple_dummy	6.0	this_building	6.0	6.0
wh2_main_special_settlement_lahmia_hef_2	wh_main_effect_construction_slot_multiple_dummy	4.0	this_building	4.0	4.0
wh2_main_special_settlement_lahmia_hef_1	wh_main_effect_construction_slot_multiple_dummy	2.0	this_building	2.0	2.0
wh2_main_special_settlement_eight_peaks_vmp_5	wh_main_effect_construction_slot_multiple_dummy	9.0	this_building	9.0	9.0
wh2_main_special_settlement_eight_peaks_vmp_4	wh_main_effect_construction_slot_multiple_dummy	8.0	this_building	8.0	8.0
wh2_main_special_settlement_eight_peaks_vmp_3	wh_main_effect_construction_slot_multiple_dummy	6.0	this_building	6.0	6.0
wh2_main_special_settlement_eight_peaks_vmp_2	wh_main_effect_construction_slot_multiple_dummy	4.0	this_building	4.0	4.0
wh2_main_special_settlement_eight_peaks_vmp_1	wh_main_effect_construction_slot_dummy	2.0	this_building	2.0	2.0
wh2_main_special_settlement_eight_peaks_skv_5	wh_main_effect_construction_slot_multiple_dummy	9.0	this_building	9.0	9.0
wh2_main_special_settlement_eight_peaks_skv_4	wh_main_effect_construction_slot_multiple_dummy	8.0	this_building	8.0	8.0
wh2_main_special_settlement_eight_peaks_skv_3	wh_main_effect_construction_slot_multiple_dummy	6.0	this_building	6.0	6.0
wh2_main_special_settlement_eight_peaks_skv_2	wh_main_effect_construction_slot_multiple_dummy	4.0	this_building	4.0	4.0
wh2_main_special_settlement_eight_peaks_skv_1	wh_main_effect_construction_slot_multiple_dummy	2.0	this_building	2.0	2.0
wh2_main_special_settlement_eight_peaks_other_5	wh_main_effect_construction_slot_multiple_dummy	9.0	this_building	9.0	9.0
wh2_main_special_settlement_eight_peaks_other_4	wh_main_effect_construction_slot_multiple_dummy	8.0	this_building	8.0	8.0
wh2_main_special_settlement_eight_peaks_other_3	wh_main_effect_construction_slot_multiple_dummy	6.0	this_building	6.0	6.0
wh2_main_special_settlement_eight_peaks_other_2	wh_main_effect_construction_slot_multiple_dummy	4.0	this_building	4.0	4.0
wh2_main_special_settlement_eight_peaks_other_1	wh_main_effect_construction_slot_multiple_dummy	2.0	this_building	2.0	2.0
wh2_main_special_settlement_eight_peaks_lzd_5	wh_main_effect_construction_slot_multiple_dummy	9.0	this_building	9.0	9.0
wh2_main_special_settlement_eight_peaks_lzd_4	wh_main_effect_construction_slot_multiple_dummy	8.0	this_building	8.0	8.0
wh2_main_special_settlement_eight_peaks_lzd_3	wh_main_effect_construction_slot_multiple_dummy	6.0	this_building	6.0	6.0
wh2_main_special_settlement_eight_peaks_lzd_2	wh_main_effect_construction_slot_multiple_dummy	4.0	this_building	4.0	4.0
wh2_main_special_settlement_eight_peaks_lzd_1	wh_main_effect_construction_slot_dummy	2.0	this_building	2.0	2.0
wh2_main_special_settlement_eight_peaks_hef_5	wh_main_effect_construction_slot_multiple_dummy	9.0	this_building	9.0	9.0
