building	effect	value	effect_scope	value_damaged	value_ruined
#building_effects_junction_tables;3;db/building_effects_junction_tables/zzz_norsca_special_settlement_slots					
wh2_main_special_settlement_altdorf_norsca_1	wh_main_effect_construction_slot_dummy	2.0	this_building	2.0	2.0
wh2_main_special_settlement_altdorf_norsca_2	wh_main_effect_construction_slot_multiple_dummy	4.0	this_building	4.0	4.0
wh2_main_special_settlement_altdorf_norsca_3	wh_main_effect_construction_slot_multiple_dummy	6.0	this_building	6.0	6.0
wh2_main_special_settlement_altdorf_norsca_4	wh_main_effect_construction_slot_multiple_dummy	8.0	this_building	8.0	8.0
wh2_main_special_settlement_altdorf_norsca_5	wh_main_effect_construction_slot_multiple_dummy	9.0	this_building	9.0	9.0
wh2_main_special_settlement_castle_drakenhof_norsca_1	wh_main_effect_construction_slot_dummy	2.0	this_building	2.0	2.0
wh2_main_special_settlement_castle_drakenhof_norsca_2	wh_main_effect_construction_slot_multiple_dummy	4.0	this_building	4.0	4.0
wh2_main_special_settlement_castle_drakenhof_norsca_3	wh_main_effect_construction_slot_multiple_dummy	6.0	this_building	6.0	6.0
wh2_main_special_settlement_castle_drakenhof_norsca_4	wh_main_effect_construction_slot_multiple_dummy	8.0	this_building	8.0	8.0
wh2_main_special_settlement_castle_drakenhof_norsca_5	wh_main_effect_construction_slot_multiple_dummy	9.0	this_building	9.0	9.0
wh2_main_special_settlement_couronne_norsca_1	wh_main_effect_construction_slot_dummy	2.0	this_building	2.0	2.0
wh2_main_special_settlement_couronne_norsca_2	wh_main_effect_construction_slot_multiple_dummy	4.0	this_building	4.0	4.0
wh2_main_special_settlement_couronne_norsca_3	wh_main_effect_construction_slot_multiple_dummy	6.0	this_building	6.0	6.0
wh2_main_special_settlement_couronne_norsca_4	wh_main_effect_construction_slot_multiple_dummy	8.0	this_building	8.0	8.0
wh2_main_special_settlement_couronne_norsca_5	wh_main_effect_construction_slot_multiple_dummy	9.0	this_building	9.0	9.0
wh2_main_special_settlement_hexoatl_norsca_1	wh_main_effect_construction_slot_dummy	2.0	this_building	2.0	2.0
wh2_main_special_settlement_hexoatl_norsca_2	wh_main_effect_construction_slot_multiple_dummy	4.0	this_building	4.0	4.0
wh2_main_special_settlement_hexoatl_norsca_3	wh_main_effect_construction_slot_multiple_dummy	6.0	this_building	6.0	6.0
wh2_main_special_settlement_hexoatl_norsca_4	wh_main_effect_construction_slot_multiple_dummy	8.0	this_building	8.0	8.0
wh2_main_special_settlement_hexoatl_norsca_5	wh_main_effect_construction_slot_multiple_dummy	9.0	this_building	9.0	9.0
wh2_main_special_settlement_itza_norsca_1	wh_main_effect_construction_slot_dummy	2.0	this_building	2.0	2.0
wh2_main_special_settlement_itza_norsca_2	wh_main_effect_construction_slot_multiple_dummy	4.0	this_building	4.0	4.0
wh2_main_special_settlement_itza_norsca_3	wh_main_effect_construction_slot_multiple_dummy	6.0	this_building	6.0	6.0
wh2_main_special_settlement_itza_norsca_4	wh_main_effect_construction_slot_multiple_dummy	8.0	this_building	8.0	8.0
wh2_main_special_settlement_itza_norsca_5	wh_main_effect_construction_slot_multiple_dummy	9.0	this_building	9.0	9.0
wh2_main_special_settlement_khemri_norsca_1	wh_main_effect_construction_slot_dummy	2.0	this_building	2.0	2.0
wh2_main_special_settlement_khemri_norsca_2	wh_main_effect_construction_slot_multiple_dummy	4.0	this_building	4.0	4.0
wh2_main_special_settlement_khemri_norsca_3	wh_main_effect_construction_slot_multiple_dummy	6.0	this_building	6.0	6.0
wh2_main_special_settlement_khemri_norsca_4	wh_main_effect_construction_slot_multiple_dummy	8.0	this_building	8.0	8.0
wh2_main_special_settlement_khemri_norsca_5	wh_main_effect_construction_slot_multiple_dummy	9.0	this_building	9.0	9.0
wh2_main_special_settlement_kislev_norsca_1	wh_main_effect_construction_slot_dummy	2.0	this_building	2.0	2.0
wh2_main_special_settlement_kislev_norsca_2	wh_main_effect_construction_slot_multiple_dummy	4.0	this_building	4.0	4.0
wh2_main_special_settlement_kislev_norsca_3	wh_main_effect_construction_slot_multiple_dummy	6.0	this_building	6.0	6.0
wh2_main_special_settlement_kislev_norsca_4	wh_main_effect_construction_slot_multiple_dummy	8.0	this_building	8.0	8.0
wh2_main_special_settlement_kislev_norsca_5	wh_main_effect_construction_slot_multiple_dummy	9.0	this_building	9.0	9.0
wh2_main_special_settlement_lahmia_norsca_1	wh_main_effect_construction_slot_dummy	2.0	this_building	2.0	2.0
wh2_main_special_settlement_lahmia_norsca_2	wh_main_effect_construction_slot_multiple_dummy	4.0	this_building	4.0	4.0
wh2_main_special_settlement_lahmia_norsca_3	wh_main_effect_construction_slot_multiple_dummy	6.0	this_building	6.0	6.0
wh2_main_special_settlement_lahmia_norsca_4	wh_main_effect_construction_slot_multiple_dummy	8.0	this_building	8.0	8.0
wh2_main_special_settlement_lahmia_norsca_5	wh_main_effect_construction_slot_multiple_dummy	9.0	this_building	9.0	9.0
wh2_main_special_settlement_lothern_norsca_1	wh_main_effect_construction_slot_dummy	2.0	this_building	2.0	2.0
wh2_main_special_settlement_lothern_norsca_2	wh_main_effect_construction_slot_multiple_dummy	4.0	this_building	4.0	4.0
wh2_main_special_settlement_lothern_norsca_3	wh_main_effect_construction_slot_multiple_dummy	6.0	this_building	6.0	6.0
wh2_main_special_settlement_lothern_norsca_4	wh_main_effect_construction_slot_multiple_dummy	8.0	this_building	8.0	8.0
wh2_main_special_settlement_lothern_norsca_5	wh_main_effect_construction_slot_multiple_dummy	9.0	this_building	9.0	9.0
wh2_main_special_settlement_miragliano_norsca_1	wh_main_effect_construction_slot_dummy	2.0	this_building	2.0	2.0
wh2_main_special_settlement_miragliano_norsca_2	wh_main_effect_construction_slot_multiple_dummy	4.0	this_building	4.0	4.0
wh2_main_special_settlement_miragliano_norsca_3	wh_main_effect_construction_slot_multiple_dummy	6.0	this_building	6.0	6.0
wh2_main_special_settlement_miragliano_norsca_4	wh_main_effect_construction_slot_multiple_dummy	8.0	this_building	8.0	8.0
wh2_main_special_settlement_miragliano_norsca_5	wh_main_effect_construction_slot_multiple_dummy	9.0	this_building	9.0	9.0
wh2_main_special_settlement_naggarond_norsca_1	wh_main_effect_construction_slot_dummy	2.0	this_building	2.0	2.0
wh2_main_special_settlement_naggarond_norsca_2	wh_main_effect_construction_slot_multiple_dummy	4.0	this_building	4.0	4.0
wh2_main_special_settlement_naggarond_norsca_3	wh_main_effect_construction_slot_multiple_dummy	6.0	this_building	6.0	6.0
wh2_main_special_settlement_naggarond_norsca_4	wh_main_effect_construction_slot_multiple_dummy	8.0	this_building	8.0	8.0
wh2_main_special_settlement_naggarond_norsca_5	wh_main_effect_construction_slot_multiple_dummy	9.0	this_building	9.0	9.0
wh2_main_special_settlement_sartosa_norsca_1	wh_main_effect_construction_slot_dummy	2.0	this_building	2.0	2.0
wh2_main_special_settlement_sartosa_norsca_2	wh_main_effect_construction_slot_multiple_dummy	4.0	this_building	4.0	4.0
wh2_main_special_settlement_sartosa_norsca_3	wh_main_effect_construction_slot_multiple_dummy	6.0	this_building	6.0	6.0
wh2_main_special_settlement_sartosa_norsca_4	wh_main_effect_construction_slot_multiple_dummy	8.0	this_building	8.0	8.0
wh2_main_special_settlement_sartosa_norsca_5	wh_main_effect_construction_slot_multiple_dummy	9.0	this_building	9.0	9.0
wh2_main_special_settlement_the_awakening_norsca_1	wh_main_effect_construction_slot_dummy	2.0	this_building	2.0	2.0
wh2_main_special_settlement_the_awakening_norsca_2	wh_main_effect_construction_slot_multiple_dummy	4.0	this_building	4.0	4.0
wh2_main_special_settlement_the_awakening_norsca_3	wh_main_effect_construction_slot_multiple_dummy	6.0	this_building	6.0	6.0
wh2_main_special_settlement_the_awakening_norsca_4	wh_main_effect_construction_slot_multiple_dummy	8.0	this_building	8.0	8.0
wh2_main_special_settlement_the_awakening_norsca_5	wh_main_effect_construction_slot_multiple_dummy	9.0	this_building	9.0	9.0
wh_main_special_settlement_black_crag_1_norsca	wh_main_effect_construction_slot_dummy	2.0	this_building	2.0	2.0
wh_main_special_settlement_black_crag_2_norsca	wh_main_effect_construction_slot_multiple_dummy	4.0	this_building	4.0	4.0
wh_main_special_settlement_black_crag_3_norsca	wh_main_effect_construction_slot_multiple_dummy	6.0	this_building	6.0	6.0
wh_main_special_settlement_black_crag_4_norsca	wh_main_effect_construction_slot_multiple_dummy	8.0	this_building	8.0	8.0
wh_main_special_settlement_black_crag_5_norsca	wh_main_effect_construction_slot_multiple_dummy	9.0	this_building	9.0	9.0
wh_main_special_settlement_eight_peaks_1_norsca	wh_main_effect_construction_slot_dummy	2.0	this_building	2.0	2.0
wh_main_special_settlement_eight_peaks_2_norsca	wh_main_effect_construction_slot_multiple_dummy	4.0	this_building	4.0	4.0
wh_main_special_settlement_eight_peaks_3_norsca	wh_main_effect_construction_slot_multiple_dummy	6.0	this_building	6.0	6.0
wh_main_special_settlement_eight_peaks_4_norsca	wh_main_effect_construction_slot_multiple_dummy	8.0	this_building	8.0	8.0
wh_main_special_settlement_eight_peaks_5_norsca	wh_main_effect_construction_slot_multiple_dummy	9.0	this_building	9.0	9.0
wh_main_special_settlement_karaz_a_karak_1_norsca	wh_main_effect_construction_slot_dummy	2.0	this_building	2.0	2.0
wh_main_special_settlement_karaz_a_karak_2_norsca	wh_main_effect_construction_slot_multiple_dummy	4.0	this_building	4.0	4.0
wh_main_special_settlement_karaz_a_karak_3_norsca	wh_main_effect_construction_slot_multiple_dummy	6.0	this_building	6.0	6.0
wh_main_special_settlement_karaz_a_karak_4_norsca	wh_main_effect_construction_slot_multiple_dummy	8.0	this_building	8.0	8.0
wh_main_special_settlement_karaz_a_karak_5_norsca	wh_main_effect_construction_slot_multiple_dummy	9.0	this_building	9.0	9.0
