building	effect	value	effect_scope	value_damaged	value_ruined
#building_effects_junction_tables	3	db/building_effects_junction_tables/zzz_sm0_buildings_fix
wh_main_special_conclave_of_magic_vampires	wh_main_effect_agent_cap_increase_wizard_necromancer	2.0	faction_to_faction_own_unseen	1.0	0.0
wh2_dlc09_tmb_growth_1	wh_main_effect_force_all_campaign_replenishment_rate	3.0	province_to_army_own	2.0	0.0
wh2_dlc09_tmb_growth_2	wh_main_effect_force_all_campaign_replenishment_rate	4.0	province_to_army_own	2.0	0.0
wh2_dlc09_tmb_growth_3	wh_main_effect_force_all_campaign_replenishment_rate	5.0	province_to_army_own	3.0	0.0
wh2_dlc09_tmb_arkhan_burial_mound	wh2_dlc09_effect_unit_cap_tmb_inf_crypt_ghouls	4.0	building_to_faction_own	2.0	0.0
wh2_dlc09_tmb_arkhan_burial_mound	wh2_dlc09_effect_unit_cap_tmb_mon_dire_wolves	4.0	building_to_faction_own	2.0	0.0
wh2_dlc09_tmb_arkhan_burial_mound	wh2_dlc09_effect_unit_cap_tmb_mon_fell_bats	4.0	building_to_faction_own	2.0	0.0
wh2_dlc09_tmb_arkhan_burial_mound_2	wh2_dlc09_effect_unit_cap_tmb_inf_crypt_ghouls	4.0	building_to_faction_own	2.0	0.0
wh2_dlc09_tmb_arkhan_burial_mound_2	wh2_dlc09_effect_unit_cap_tmb_mon_dire_wolves	4.0	building_to_faction_own	2.0	0.0
wh2_dlc09_tmb_arkhan_burial_mound_2	wh2_dlc09_effect_unit_cap_tmb_mon_fell_bats	4.0	building_to_faction_own	2.0	0.0
wh2_dlc15_special_fortress_of_vorag_tower_of_the_bloodytooth	wh_dlc10_effect_construction_cost	-15.0	region_to_region_own_provincewide	-8.0	0.0
wh2_dlc15_special_fortress_of_vorag_tower_of_the_bloodytooth	wh_main_effect_economy_gdp_subsistance	300.0	building_to_building_own	150.0	0.0
wh2_dlc15_special_fortress_of_vorag_tower_of_the_bloodytooth_vmp	wh_main_effect_economy_gdp_subsistance	300.0	building_to_building_own	150.0	0.0
wh2_dlc15_special_fortress_of_vorag_tower_of_the_bloodytooth_vmp	wh_main_effect_religion_conversion_undeath	5.0	region_to_region_own	3.0	0.0
wh2_dlc15_special_graves_of_the_dragons_2_hef	wh_main_effect_economy_gdp_subsistance	450.0	building_to_building_own	225.0	0.0
wh2_dlc15_special_graves_of_the_dragons_2_hef	wh_main_effect_public_order_base	5.0	province_to_province_own_unseen	3.0	0.0
wh2_dlc15_special_graves_of_the_dragons_dwf	wh2_main_effect_region_resource_gold_idols_production	6.0	building_to_building_own	3.0	0.0
wh2_dlc15_special_graves_of_the_dragons_dwf	wh2_main_faction_political_diplomacy_mod_highelves	-10.0	building_to_faction_own	-5.0	0.0
wh2_dlc15_special_graves_of_the_dragons_dwf	wh_main_effect_economy_gdp_subsistance	500.0	building_to_building_own	250.0	0.0
wh2_dlc15_special_graves_of_the_dragons_hef	wh_main_effect_economy_gdp_subsistance	300.0	building_to_building_own	140.0	0.0
wh2_dlc15_special_graves_of_the_dragons_hef	wh_main_effect_public_order_base	3.0	province_to_province_own_unseen	2.0	0.0
wh2_dlc15_special_graves_of_the_dragons_hef	wh_main_effect_religion_conversion_untainted	3.0	region_to_region_own	2.0	0.0
wh2_dlc15_special_graves_of_the_dragons_vmp	wh_main_effect_military_force_winds_of_magic_depletion_mod_items	10.0	faction_to_force_own	5.0	0.0
wh2_dlc15_special_graves_of_the_dragons_vmp	wh_main_effect_religion_conversion_undeath	5.0	region_to_region_own	3.0	0.0
wh2_dlc15_special_graves_of_the_dragons_vmp	wh_main_faction_xp_increase_generals	3.0	province_to_province_own_factionwide	1.0	0.0
wh2_dlc15_special_grn_nuln_grand_prix	wh2_dlc15_effect_force_recruit_rank_grn_chariots_pump_wagons	3.0	province_to_province_own	2.0	0.0
wh2_dlc15_special_grn_nuln_grand_prix	wh_dlc05_tech_diplomacy_bonus_empire	-25.0	faction_to_faction_own_unseen	-12.0	0.0
wh2_dlc15_special_grn_nuln_grand_prix	wh_main_effect_economy_gdp_subsistance	100.0	building_to_building_own	50.0	0.0
wh2_dlc15_special_grn_nuln_grand_prix	wh_main_effect_public_order_base	4.0	province_to_province_own_unseen	2.0	0.0
wh2_dlc15_special_ka_sabar_city_of_bronze	wh_main_effect_economy_gdp_industry	300.0	building_to_building_own	150.0	0.0
wh2_dlc15_special_ka_sabar_city_of_bronze	wh_main_effect_force_all_campaign_recruitment_cost_all	-10.0	region_to_force_own	-5.0	0.0
wh2_dlc15_special_ka_sabar_city_of_bronze_tmb	wh_main_effect_economy_gdp_industry	100.0	building_to_building_own	50.0	0.0
wh2_dlc15_special_massif_orcal_quarry	wh_main_effect_economy_gdp_mining	300.0	building_to_building_own	150.0	0.0
wh2_dlc15_special_massif_orcal_quarry	wh_main_effect_province_growth_building	40.0	region_to_province_own	20.0	0.0
wh2_dlc15_special_massif_orcal_quarry	wh_main_effect_tech_unit_xp_levels_trolls	2.0	province_to_province_own_unseen	1.0	0.0
wh2_dlc15_special_morgheim_necropolis_tmb	wh_main_effect_economy_gdp_agriculture_animal_husbandry	200.0	building_to_building_own	100.0	0.0
wh2_dlc15_special_mount_arachnos_1	wh_main_effect_economy_gdp_subsistance	50.0	building_to_building_own	25.0	0.0
wh2_dlc15_special_mount_arachnos_2	wh_dlc15_effect_force_unit_stat_armour_grn_hatchlings	10.0	faction_to_army_own	5.0	0.0
wh2_dlc15_special_mount_arachnos_2	wh_dlc15_effect_force_unit_stat_melee_attack_grn_hatchlings	4.0	faction_to_army_own	2.0	0.0
