building	effect	value	effect_scope	value_damaged	value_ruined
#building_effects_junction_tables	3	db/building_effects_junction_tables/zzz_sm0_walls
wh2_main_special_settlement_colony_minor_brt_1	wh2_main_effect_economy_gdp_mod_trade_sea_global	1.0	faction_to_region_own	1.0	0.0
wh2_main_special_settlement_colony_minor_brt_1	wh_main_effect_construction_slot_dummy	1.0	this_building	1.0	1.0
wh2_main_special_settlement_colony_minor_brt_1	wh_main_effect_economy_gdp_mod_trade_sea	50.0	region_to_region_own	25.0	0.0
wh2_main_special_settlement_colony_minor_brt_1	wh_main_effect_economy_gdp_subsistance	150.0	building_to_building_own	75.0	0.0
wh2_main_special_settlement_colony_minor_brt_1	wh_main_effect_province_growth_building	8.0	region_to_province_own	4.0	0.0
wh2_main_special_settlement_colony_minor_brt_2	wh2_main_effect_economy_gdp_mod_trade_sea_global	2.0	faction_to_region_own	1.0	0.0
wh2_main_special_settlement_colony_minor_brt_2	wh_main_effect_construction_slot_multiple_dummy	2.0	this_building	2.0	2.0
wh2_main_special_settlement_colony_minor_brt_2	wh_main_effect_economy_gdp_mod_trade_sea	50.0	region_to_region_own	25.0	0.0
wh2_main_special_settlement_colony_minor_brt_2	wh_main_effect_economy_gdp_subsistance	225.0	building_to_building_own	113.0	0.0
wh2_main_special_settlement_colony_minor_brt_2	wh_main_effect_province_growth_building	15.0	region_to_province_own	8.0	0.0
wh2_main_special_settlement_colony_minor_brt_3	wh2_main_effect_ability_enable_garrison_heroes	1.0	building_to_forces_own_regionwide	1.0	1.0
wh2_main_special_settlement_colony_minor_brt_3	wh2_main_effect_economy_gdp_mod_trade_sea_global	2.0	faction_to_region_own	1.0	0.0
wh2_main_special_settlement_colony_minor_brt_3	wh_main_effect_construction_slot_multiple_dummy	3.0	this_building	3.0	3.0
wh2_main_special_settlement_colony_minor_brt_3	wh_main_effect_economy_gdp_mod_trade_sea	50.0	region_to_region_own	25.0	0.0
wh2_main_special_settlement_colony_minor_brt_3	wh_main_effect_economy_gdp_subsistance	300.0	building_to_building_own	150.0	0.0
wh2_main_special_settlement_colony_minor_brt_3	wh_main_effect_province_growth_building	22.0	region_to_province_own	11.0	0.0
wh2_main_special_settlement_colony_minor_brt_3	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_colony_minor_brt_3	wh_main_effect_textonly_walls	1.0	region_to_region_own	1.0	0.0
wh2_main_special_settlement_hellpit_1	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_hellpit_2	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_hellpit_3	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_hellpit_4	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_hellpit_5	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_skavenblight_1	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_skavenblight_2	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_skavenblight_3	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_skavenblight_4	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_skavenblight_5	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
