building	effect	value	effect_scope	value_damaged	value_ruined
#building_effects_junction_tables;3;db/building_effects_junction_tables/zzz_wrong_effect_values					
wh_main_grn_dwf_settlement_ruin_major	wh_main_effect_force_army_campaign_siege_defend_holdout_time_hidden	0.0	region_to_region_own	0.0	0.0
wh_main_grn_dwf_settlement_ruin_major	wh_main_effect_settlement_walls_hidden	0.0	region_to_region_own	0.0	0.0
wh_main_special_settlement_miragliano_1_brt	wh_main_effect_construction_slot_dummy	2.0	this_building	2.0	2.0
wh_main_special_settlement_miragliano_1_brt	wh_main_effect_province_growth_building	20.0	region_to_province_own	10.0	0.0
wh_main_special_settlement_miragliano_2_brt	wh_main_effect_construction_slot_multiple_dummy	4.0	this_building	4.0	4.0
wh_main_special_settlement_miragliano_2_brt	wh_main_effect_province_growth_building	40.0	region_to_province_own	20.0	0.0
wh_main_special_settlement_miragliano_1_brt	wh_main_effect_public_order_base	1.0	province_to_province_own_unseen	1.0	0.0
wh_main_special_settlement_miragliano_2_brt	wh_main_effect_public_order_base	2.0	province_to_province_own_unseen	1.0	0.0
wh_main_special_settlement_miragliano_3_brt	wh_main_effect_construction_slot_multiple_dummy	6.0	this_building	6.0	6.0
wh_main_special_settlement_miragliano_3_brt	wh_main_effect_province_growth_building	60.0	region_to_province_own	30.0	0.0
wh_main_special_settlement_miragliano_3_brt	wh_main_effect_public_order_base	3.0	province_to_province_own_unseen	2.0	0.0
wh_main_special_settlement_miragliano_4_brt	wh_main_effect_construction_slot_multiple_dummy	8.0	this_building	8.0	8.0
wh_main_special_settlement_miragliano_4_brt	wh_main_effect_province_growth_building	80.0	region_to_province_own	40.0	0.0
wh_main_special_settlement_miragliano_4_brt	wh_main_effect_public_order_base	4.0	province_to_province_own_unseen	2.0	0.0
wh_main_special_settlement_miragliano_5_brt	wh_main_effect_construction_slot_multiple_dummy	9.0	this_building	9.0	9.0
wh_main_special_settlement_miragliano_5_brt	wh_main_effect_province_growth_building	100.0	region_to_province_own	50.0	0.0
wh_main_special_settlement_miragliano_5_brt	wh_main_effect_public_order_base	5.0	province_to_province_own_unseen	3.0	0.0
wh_main_special_settlement_kislev_1_brt	wh_main_effect_province_growth_building	20.0	region_to_province_own	10.0	0.0
wh_main_special_settlement_kislev_2_brt	wh_main_effect_province_growth_building	40.0	region_to_province_own	20.0	0.0
wh_main_special_settlement_kislev_1_brt	wh_main_effect_public_order_base	1.0	province_to_province_own_unseen	1.0	0.0
wh_main_special_settlement_kislev_2_brt	wh_main_effect_public_order_base	2.0	province_to_province_own_unseen	1.0	0.0
wh_main_special_settlement_kislev_3_brt	wh_main_effect_province_growth_building	60.0	region_to_province_own	30.0	0.0
wh_main_special_settlement_kislev_3_brt	wh_main_effect_public_order_base	3.0	province_to_province_own_unseen	2.0	0.0
wh_main_special_settlement_kislev_4_brt	wh_main_effect_province_growth_building	80.0	region_to_province_own	40.0	0.0
wh_main_special_settlement_kislev_4_brt	wh_main_effect_public_order_base	4.0	province_to_province_own_unseen	2.0	0.0
wh_main_special_settlement_kislev_5_brt	wh_main_effect_province_growth_building	100.0	region_to_province_own	50.0	0.0
wh_main_special_settlement_kislev_5_brt	wh_main_effect_public_order_base	5.0	province_to_province_own_unseen	3.0	0.0
wh_main_special_settlement_castle_drakenhof_1_brt	wh_main_effect_province_growth_building	20.0	region_to_province_own	10.0	0.0
wh_main_special_settlement_castle_drakenhof_2_brt	wh_main_effect_province_growth_building	40.0	region_to_province_own	20.0	0.0
wh_main_special_settlement_castle_drakenhof_1_brt	wh_main_effect_public_order_base	1.0	province_to_province_own_unseen	1.0	0.0
wh_main_special_settlement_castle_drakenhof_2_brt	wh_main_effect_public_order_base	2.0	province_to_province_own_unseen	1.0	0.0
wh_main_special_settlement_castle_drakenhof_3_brt	wh_main_effect_province_growth_building	60.0	region_to_province_own	30.0	0.0
wh_main_special_settlement_castle_drakenhof_3_brt	wh_main_effect_public_order_base	3.0	province_to_province_own_unseen	2.0	0.0
wh_main_special_settlement_castle_drakenhof_4_brt	wh_main_effect_province_growth_building	80.0	region_to_province_own	40.0	0.0
wh_main_special_settlement_castle_drakenhof_4_brt	wh_main_effect_public_order_base	4.0	province_to_province_own_unseen	2.0	0.0
wh_main_special_settlement_castle_drakenhof_5_brt	wh_main_effect_province_growth_building	100.0	region_to_province_own	50.0	0.0
wh_main_special_settlement_castle_drakenhof_5_brt	wh_main_effect_public_order_base	5.0	province_to_province_own_unseen	3.0	0.0
wh_main_special_settlement_altdorf_1_brt	wh_main_effect_province_growth_building	20.0	region_to_province_own	10.0	0.0
wh_main_special_settlement_altdorf_2_brt	wh_main_effect_province_growth_building	40.0	region_to_province_own	20.0	0.0
wh_main_special_settlement_altdorf_1_brt	wh_main_effect_public_order_base	1.0	province_to_province_own_unseen	1.0	0.0
wh_main_special_settlement_altdorf_2_brt	wh_main_effect_public_order_base	2.0	province_to_province_own_unseen	1.0	0.0
wh_main_special_settlement_altdorf_3_brt	wh_main_effect_province_growth_building	60.0	region_to_province_own	30.0	0.0
wh_main_special_settlement_altdorf_3_brt	wh_main_effect_public_order_base	3.0	province_to_province_own_unseen	2.0	0.0
wh_main_special_settlement_altdorf_4_brt	wh_main_effect_province_growth_building	80.0	region_to_province_own	40.0	0.0
wh_main_special_settlement_altdorf_4_brt	wh_main_effect_public_order_base	4.0	province_to_province_own_unseen	2.0	0.0
wh_main_special_settlement_altdorf_5_brt	wh_main_effect_province_growth_building	100.0	region_to_province_own	50.0	0.0
wh_main_special_settlement_altdorf_5_brt	wh_main_effect_public_order_base	5.0	province_to_province_own_unseen	3.0	0.0
wh2_dlc11_vampirecoast_defence_garrison_2	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_dlc15_special_settlement_massif_orcal_lzd_1	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_dlc15_special_settlement_massif_orcal_lzd_2	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_dlc15_special_settlement_massif_orcal_lzd_3	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_dlc15_special_settlement_massif_orcal_lzd_4	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_dlc15_special_settlement_massif_orcal_lzd_5	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_dlc15_special_settlement_tor_yvresse_lzd_1	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_dlc15_special_settlement_tor_yvresse_lzd_2	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_dlc15_special_settlement_tor_yvresse_lzd_3	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_dlc15_special_settlement_tor_yvresse_lzd_4	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_dlc15_special_settlement_tor_yvresse_lzd_5	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_mousillon_merovech	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_gaean_vale_lzd_1	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_gaean_vale_lzd_2	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_gaean_vale_lzd_3	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_gaean_vale_lzd_4	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_gaean_vale_lzd_5	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_hellpit_other_1	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_hellpit_other_2	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_hellpit_other_3	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_hellpit_other_4	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_hellpit_other_5	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_lothern_lzd_1	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_lothern_lzd_2	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_lothern_lzd_3	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_lothern_lzd_4	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_lothern_lzd_5	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_naggarond_lzd_1	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_naggarond_lzd_2	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_naggarond_lzd_3	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_naggarond_lzd_4	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_naggarond_lzd_5	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_sartosa_lzd_1	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_sartosa_lzd_2	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_sartosa_lzd_3	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_sartosa_lzd_4	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_sartosa_lzd_5	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_skavenblight_other_1	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_skavenblight_other_2	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_skavenblight_other_3	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_skavenblight_other_4	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_skavenblight_other_5	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_the_awakening_lzd_1	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_the_awakening_lzd_2	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_the_awakening_lzd_3	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_the_awakening_lzd_4	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh2_main_special_settlement_the_awakening_lzd_5	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
wh_main_special_settlement_black_crag_1_dwf	wh_main_effect_settlement_walls_hidden	1.0	region_to_region_own	1.0	1.0
