id	building_level	unit_group
#building_level_armed_citizenry_junctions_tables	1	db/building_level_armed_citizenry_junctions_tables/zzz_konquata
194000	wh2_dlc17_bst_special_settlement_konquata_1	wh_dlc03_bst_inf_centigors_0
194001	wh2_dlc17_bst_special_settlement_konquata_1	wh_dlc03_bst_inf_centigors_0
194002	wh2_dlc17_bst_special_settlement_konquata_1	wh_dlc03_bst_inf_ungor_herd_1
194003	wh2_dlc17_bst_special_settlement_konquata_1	wh_dlc03_bst_inf_gor_herd_0
194004	wh2_dlc17_bst_special_settlement_konquata_1	wh_dlc05_bst_mon_harpies_0
194005	wh2_dlc17_bst_special_settlement_konquata_1	wh_dlc05_bst_mon_harpies_0
194006	wh2_dlc17_bst_special_settlement_konquata_1	wh_dlc03_bst_inf_ungor_spearmen_0
194007	wh2_dlc17_bst_special_settlement_konquata_1	wh_dlc03_bst_inf_ungor_herd_1
194008	wh2_dlc17_bst_special_settlement_konquata_1	wh_dlc03_bst_inf_gor_herd_0
194009	wh2_dlc17_bst_special_settlement_konquata_1	wh_dlc03_bst_inf_ungor_raiders_0
194010	wh2_dlc17_bst_special_settlement_konquata_1	wh_dlc03_bst_inf_ungor_raiders_0
194011	wh2_dlc17_bst_special_settlement_konquata_1	wh_dlc03_bst_inf_ungor_spearmen_0
194012	wh2_dlc17_bst_special_settlement_konquata_2	wh_dlc03_bst_inf_razorgor_herd_0
194013	wh2_dlc17_bst_special_settlement_konquata_2	wh_dlc03_bst_inf_ungor_raiders_0
194014	wh2_dlc17_bst_special_settlement_konquata_2	wh_dlc03_bst_inf_ungor_raiders_0
194015	wh2_dlc17_bst_special_settlement_konquata_2	wh_dlc03_bst_inf_ungor_raiders_0
194016	wh2_dlc17_bst_special_settlement_konquata_2	wh_dlc03_bst_inf_ungor_herd_1
194017	wh2_dlc17_bst_special_settlement_konquata_2	wh_dlc03_bst_inf_gor_herd_1
194018	wh2_dlc17_bst_special_settlement_konquata_2	wh_dlc03_bst_inf_ungor_herd_1
194019	wh2_dlc17_bst_special_settlement_konquata_2	wh_dlc03_bst_inf_razorgor_herd_0
194020	wh2_dlc17_bst_special_settlement_konquata_2	wh_dlc03_bst_inf_ungor_herd_1
194021	wh2_dlc17_bst_special_settlement_konquata_2	wh_dlc03_bst_inf_ungor_raiders_0
194022	wh2_dlc17_bst_special_settlement_konquata_2	wh_dlc03_bst_inf_centigors_0
194023	wh2_dlc17_bst_special_settlement_konquata_2	wh_dlc03_bst_inf_centigors_0
194024	wh2_dlc17_bst_special_settlement_konquata_2	wh_dlc03_bst_inf_gor_herd_1
194025	wh2_dlc17_bst_special_settlement_konquata_2	wh_dlc03_bst_inf_ungor_herd_1
194026	wh2_dlc17_bst_special_settlement_konquata_3	wh_dlc03_bst_inf_ungor_raiders_0
194027	wh2_dlc17_bst_special_settlement_konquata_3	wh_dlc03_bst_inf_centigors_1
194028	wh2_dlc17_bst_special_settlement_konquata_3	wh_dlc03_bst_inf_razorgor_herd_0
194029	wh2_dlc17_bst_special_settlement_konquata_3	wh_dlc03_bst_inf_ungor_raiders_0
194030	wh2_dlc17_bst_special_settlement_konquata_3	wh_dlc03_bst_inf_gor_herd_1
194031	wh2_dlc17_bst_special_settlement_konquata_3	wh_dlc03_bst_inf_centigors_1
194032	wh2_dlc17_bst_special_settlement_konquata_3	wh_dlc03_bst_inf_ungor_raiders_0
194033	wh2_dlc17_bst_special_settlement_konquata_3	wh_dlc03_bst_inf_gor_herd_0
194034	wh2_dlc17_bst_special_settlement_konquata_3	wh_dlc03_bst_inf_razorgor_herd_0
