id	building_level	unit_group
#building_level_armed_citizenry_junctions_tables;1;db/building_level_armed_citizenry_junctions_tables/zzz_sm0_walls		
192200	wh2_main_special_settlement_colony_minor_brt_1	wh_main_brt_inf_spearmen_at_arms
192201	wh2_main_special_settlement_colony_minor_brt_1	wh_main_brt_inf_spearmen_at_arms
192202	wh2_main_special_settlement_colony_minor_brt_1	wh_main_brt_inf_peasant_bowmen
192203	wh2_main_special_settlement_colony_minor_brt_1	wh_dlc07_brt_inf_men_at_arms_2
192204	wh2_main_special_settlement_colony_minor_brt_1	wh_main_brt_inf_peasant_bowmen
192205	wh2_main_special_settlement_colony_minor_brt_1	wh_dlc07_brt_inf_foot_squires_0
192206	wh2_main_special_settlement_colony_minor_brt_1	wh_main_brt_inf_spearmen_at_arms
192207	wh2_main_special_settlement_colony_minor_brt_1	wh_main_brt_inf_peasant_bowmen
192208	wh2_main_special_settlement_colony_minor_brt_2	wh_dlc07_brt_inf_foot_squires_0
192209	wh2_main_special_settlement_colony_minor_brt_2	wh_main_brt_inf_spearmen_at_arms
192210	wh2_main_special_settlement_colony_minor_brt_2	wh_main_brt_inf_spearmen_at_arms
192211	wh2_main_special_settlement_colony_minor_brt_2	wh_dlc07_brt_inf_men_at_arms_2
192212	wh2_main_special_settlement_colony_minor_brt_2	wh_main_brt_inf_peasant_bowmen
192213	wh2_main_special_settlement_colony_minor_brt_2	wh_dlc07_brt_inf_men_at_arms_2
192214	wh2_main_special_settlement_colony_minor_brt_2	wh_main_brt_inf_spearmen_at_arms
192215	wh2_main_special_settlement_colony_minor_brt_2	wh_main_brt_inf_peasant_bowmen
192216	wh2_main_special_settlement_colony_minor_brt_2	wh_main_brt_inf_peasant_bowmen
192217	wh2_main_special_settlement_colony_minor_brt_2	wh_dlc07_brt_inf_foot_squires_0
192218	wh2_main_special_settlement_colony_minor_brt_3	wh_dlc07_brt_inf_men_at_arms_2
192219	wh2_main_special_settlement_colony_minor_brt_3	wh_dlc07_brt_inf_foot_squires_0
192220	wh2_main_special_settlement_colony_minor_brt_3	wh_main_brt_inf_spearmen_at_arms
192221	wh2_main_special_settlement_colony_minor_brt_3	wh_main_brt_cav_knights_of_the_realm
192222	wh2_main_special_settlement_colony_minor_brt_3	wh_main_brt_inf_spearmen_at_arms
192223	wh2_main_special_settlement_colony_minor_brt_3	wh_main_brt_inf_spearmen_at_arms
192224	wh2_main_special_settlement_colony_minor_brt_3	wh_main_brt_cha_paladin_0
192225	wh2_main_special_settlement_colony_minor_brt_3	wh_main_brt_inf_peasant_bowmen
192226	wh2_main_special_settlement_colony_minor_brt_3	wh_main_brt_inf_peasant_bowmen
192227	wh2_main_special_settlement_colony_minor_brt_3	wh_dlc07_brt_inf_men_at_arms_2
192228	wh2_main_special_settlement_colony_minor_brt_3	wh_dlc07_brt_inf_foot_squires_0
192229	wh2_main_special_settlement_colony_minor_brt_3	wh_main_brt_inf_peasant_bowmen
