id	slot_template	building_superchain
#slot_template_to_building_superchain_junctions_tables;0;db/slot_template_to_building_superchain_junctions_tables/zzz_sm0_awakening		
631943264	wh2_main_special_the_awakening_secondary	wh_main_sch_norsca_walls
849660781	wh2_main_special_the_awakening_secondary	wh_main_sch_norsca_loot
1244002287	wh2_main_special_the_awakening_secondary	wh_main_sch_norsca_offerings
1473370307	wh2_main_special_the_awakening_secondary	wh_main_sch_norsca_beasts
1908528345	wh2_main_special_the_awakening_secondary	wh_main_sch_norsca_worship
1945760590	wh2_main_special_the_awakening_secondary	wh_main_sch_norsca_military
192100	wh2_main_special_the_awakening_secondary	wh_main_sch_norsca_smith
192101	wh2_main_special_the_awakening_secondary	wh_main_sch_norsca_slaves
192102	wh2_main_special_the_awakening_secondary	wh_main_sch_norsca_stables
192103	wh2_main_special_the_awakening_secondary	wh_main_sch_norsca_creatures
192104	wh2_main_special_the_awakening_secondary	wh_main_sch_norsca_chaos
