key	text	tooltip
#Loc PackedFile	1	text/db/!cbf_character_skills__.loc
character_skills_localised_name_wh2_dlc12_skill_lzd_red_crested_skink_chief_warriors_crest	Warrior's Crest	true
character_skills_localised_description_wh_dlc05_skill_emp_wizard_unique_grey_wizard_warhorse	While Wizards can rarely benefit from armour, a warhorse does offer some degree of protection and manoeuvrability.	true
character_skills_localised_description_wh2_pro07_skill_emp_wizard_unique_amethyst_wizard_warhorse	While Wizards can rarely benefit from armour, a warhorse does offer some degree of protection and manoeuvrability.	true
character_skills_localised_description_wh_main_skill_emp_wizard_unique_celestial_wizard_warhorse	While Wizards can rarely benefit from armour, a warhorse does offer some degree of protection and manoeuvrability.	true
character_skills_localised_description_wh_main_skill_emp_lord_unique_balthasar_warhorse	While Wizards can rarely benefit from armour, a warhorse does offer some degree of protection and manoeuvrability.	true
character_skills_localised_description_wh_dlc03_skill_emp_wizard_unique_amber_wizard_warhorse	While Wizards can rarely benefit from armour, a warhorse does offer some degree of protection and manoeuvrability.	true
character_skills_localised_description_wh_main_skill_emp_wizard_unique_light_wizard_warhorse	While Wizards can rarely benefit from armour, a warhorse does offer some degree of protection and manoeuvrability.	true
character_skills_localised_description_wh_main_skill_emp_wizard_unique_bright_wizard_warhorse	While Wizards can rarely benefit from armour, a warhorse does offer some degree of protection and manoeuvrability.	true
character_skills_localised_description_wh_dlc05_skill_emp_wizard_unique_jade_wizard_warhorse	While Wizards can rarely benefit from armour, a warhorse does offer some degree of protection and manoeuvrability.	true
character_skills_localised_description_wh2_dlc15_skill_innate_hef_eltharion	"Pointy-'ead" is legendary among the Greenskins, who both fear and respect his martial prowess.	true
