key	text	tooltip
#Loc PackedFile	1	text/db/!cbf_clarify_other_lzd_settlements.loc
building_culture_variants_name_wh2_main_special_settlement_hexoatl_other_lzd_1wh2_main_lzd_hexoatl	Hexoatl (Coldblood Commune)	true
building_culture_variants_name_wh2_main_special_settlement_hexoatl_other_lzd_1wh2_main_lzd_lizardmen	Hexoatl (Coldblood Commune)	true
building_culture_variants_name_wh2_main_special_settlement_hexoatl_other_lzd_2wh2_main_lzd_hexoatl	Hexoatl (Temple-Precinct)	true
building_culture_variants_name_wh2_main_special_settlement_hexoatl_other_lzd_2wh2_main_lzd_lizardmen	Hexoatl (Temple-Precinct)	true
building_culture_variants_name_wh2_main_special_settlement_hexoatl_other_lzd_3wh2_main_lzd_hexoatl	Hexoatl (Holy Ziggurat)	true
building_culture_variants_name_wh2_main_special_settlement_hexoatl_other_lzd_3wh2_main_lzd_lizardmen	Hexoatl (Holy Ziggurat)	true
building_culture_variants_name_wh2_main_special_settlement_hexoatl_other_lzd_4wh2_main_lzd_hexoatl	Hexoatl (Temple-City)	true
building_culture_variants_name_wh2_main_special_settlement_hexoatl_other_lzd_4wh2_main_lzd_lizardmen	Hexoatl (Temple-City)	true
building_culture_variants_name_wh2_main_special_settlement_hexoatl_other_lzd_5wh2_main_lzd_hexoatl	Hexoatl (Temple-Citadel)	true
building_culture_variants_name_wh2_main_special_settlement_hexoatl_other_lzd_5wh2_main_lzd_lizardmen	Hexoatl (Temple-Citadel)	true
building_culture_variants_name_wh2_main_special_settlement_itza_other_lzd_1wh2_main_lzd_itza	Itza (Lizardmen Commune)	true
building_culture_variants_name_wh2_main_special_settlement_itza_other_lzd_1wh2_main_lzd_lizardmen	Itza (Lizardmen Commune)	true
building_culture_variants_name_wh2_main_special_settlement_itza_other_lzd_2wh2_main_lzd_itza	Itza (Lizardmen Plaza)	true
building_culture_variants_name_wh2_main_special_settlement_itza_other_lzd_2wh2_main_lzd_lizardmen	Itza (Lizardmen Plaza)	true
building_culture_variants_name_wh2_main_special_settlement_itza_other_lzd_3wh2_main_lzd_itza	Itza (Holy Ziggurat)	true
building_culture_variants_name_wh2_main_special_settlement_itza_other_lzd_3wh2_main_lzd_lizardmen	Itza (Holy Ziggurat)	true
building_culture_variants_name_wh2_main_special_settlement_itza_other_lzd_4wh2_main_lzd_itza	Itza (Temple-City)	true
building_culture_variants_name_wh2_main_special_settlement_itza_other_lzd_4wh2_main_lzd_lizardmen	Itza (Temple-City)	true
building_culture_variants_name_wh2_main_special_settlement_itza_other_lzd_5wh2_main_lzd_itza	Itza (Temple-Citadel)	true
building_culture_variants_name_wh2_main_special_settlement_itza_other_lzd_5wh2_main_lzd_lizardmen	Itza (Temple-Citadel)	true
building_culture_variants_name_wh2_main_special_settlement_itza_other_lzd_ruinwh2_main_lzd_itza	Ruined Itza	true
