key	text	tooltip
#Loc PackedFile	1	text/db/!cbf_effects__.loc
effects_description_wh_main_effect_economy_trade_tariff_mod	Income from trade tariffs: %+n%	true
effects_description_wh2_dlc11_effect_tech_ranged_armor_pierce	Armour-piercing missile damage: %+n% for Zombie Pirate Gunnery Mob and Deck Droppers units	true
effects_description_wh2_main_diplomatic_relations_crusaders	Diplomatic relations: %+n with the factions of [[img:brt_repanse]][[/img]]Chevaliers de Lyonesse, [[img:brt_thegans_crusaders]][[/img]]Thegan's Errantry, [[img:brt_knights_of_the_flame]][[/img]]Knights of the Flame, [[img:brt_knights_of_origo]][[/img]]Knights of Origo and [[img:brt_rogue_jerrod]][[/img]]Jerrod's Errantry	true
effects_description_wh2_dlc15_effect_ability_enable_lord_of_dragons	Ability: "Lord of Dragons"	true
effects_description_wh2_main_effect_skill_missile_range_increase_def_corsairs_shades_riders_rank7	Range: %+n% for Black Ark Corsairs, Shades, Dark Riders and Scourgerunner Chariot units {{tr:rank7}}	true
effects_description_wh2_dlc15_effect_campaign_attrition_mist_of_yvresse_active	Causes Mists of Yvresse [[img:icon_attrition]][[/img]]attrition for non-High Elven armies	true
effects_description_wh2_dlc15_unit_passive_death_juice	Ability: "Death Juice"	true
effects_description_wh2_main_effect_building_construction_cost_mod_skv_plague_temple_chain	Construction cost: %+n% for Pox Cauldron, Pestilent Nave and Plague Abbey buildings	true
effects_description_wh2_main_effect_magic_ruin_miscast_reduction_flensing_ruin_upgrade	Miscast base chance: %+n% for "Flensing Ruin Upgraded"	true
effects_description_wh2_main_effect_magic_ruin_miscast_reduction_death_frenzy_upgrade	Miscast base chance: %+n% for "Death Frenzy Upgraded"	true
effects_description_wh2_main_effect_magic_ruin_reduce_wom_cost_death_frenzy_upgrade	Winds of Magic cost: %n for "Death Frenzy Upgraded"	true
effects_description_wh2_main_effect_magic_ruin_miscast_reduction_cracks_call_upgrade	Miscast base chance: %+n% for "Cracks Call Upgraded"	true
effects_description_wh2_main_effect_magic_ruin_reduce_wom_cost_skaven_scorch_upgrade	Winds of Magic cost: %n for "Scorch Upgraded"	true
effects_description_wh2_main_effect_magic_ruin_reduce_wom_cost_flensing_ruin_upgrade	Winds of Magic cost: %n for "Flensing Ruin Upgraded"	true
effects_description_wh2_main_effect_magic_ruin_reduce_wom_cost_warp_lightning_upgrade	Winds of Magic cost: %n for "Warp Lightning Upgraded"	true
effects_description_wh2_main_effect_magic_ruin_miscast_reduction_howling_warpgale_upgrade	Miscast base chance: %+n% for "Howling Warpgale Upgraded"	true
effects_description_wh2_main_effect_magic_ruin_reduce_wom_cost_cracks_call_upgrade	Winds of Magic cost: %n for "Cracks Call Upgraded"	true
effects_description_wh2_main_effect_magic_ruin_miscast_reduction_skaven_scorch_upgrade	Miscast base chance: %+n% for "Scorch Upgraded"	true
effects_description_wh2_main_effect_magic_ruin_reduce_wom_cost_skitterleap_upgrade	Winds of Magic cost: %n for "Skitterleap Upgraded"	true
effects_description_wh2_main_effect_magic_ruin_miscast_reduction_skitterleap_upgrade	Miscast base chance: %+n% for "Skitterleap Upgraded"	true
effects_description_wh2_main_effect_magic_ruin_miscast_reduction_warp_lightning_upgrade	Miscast base chance: %+n% for "Warp Lightning Upgraded"	true
effects_description_wh2_main_effect_magic_ruin_reduce_wom_cost_howling_warpgale_upgrade	Winds of Magic cost: %n for "Howling Warpgale Upgraded"	true
effects_description_wh2_dlc11_effect_skill_missile_damage_increase_emp_artillery	Missile strength: %+n% for Mortar, Great Cannon, Helblaster Volley Gun and Helstorm Rocket Battery units	true
effects_description_wh2_dlc11_effect_skill_ammo_increase_emp_artillery	Ammunition: %+n% for Mortar, Great Cannon, Helblaster Volley Gun, and Helstorm Rocket Battery units	true
effects_description_wh2_dlc13_effect_global_recruitment_duration_stegadon_engineofthegods_ancientstegadon_feralcarnosaur_feraldreadsaurian	Global recruitment duration: %+n turns for Stegadon, Ancient Stegadon, Feral Carnosaur, Feral Troglodon and Feral Dread Saurian units	true
effects_description_wh2_cbf_effect_global_recruitment_duration_ripperdactyl	Global recruitment duration: %+n turns for Ripperdactyl Riders units	true
effects_description_wh2_cbf_effect_global_recruitment_duration_ancientsalamander	Global recruitment duration: %+n turns for Ancient Salamander units	true
effects_description_wh2_dlc13_effect_global_recruitment_duration_hornedones_ripperdactyl_ancientsalamander	Global recruitment duration: %+n turn for Horned Ones and Coatl units	true
effects_description_wh2_dlc17_effect_tech_armour_piercing_warhounds_harpies	Armour-piercing weapon damage: %+n for Chaos Warhounds and Harpies units	true
effects_description_wh2_dlc17_effect_enable_attribute_vanguard_deployment_minotaurs	Attribute: Vanguard Deployment for Minotaur units	true
effects_description_wh2_dlc17_effect_bonus_vs_infantry_increase_bst_chariots	Bonus vs Infantry: %+n for Razorgor Chariots, Razorgor Herd and Tuskgor Chariots units	true
effects_description_wh_dlc17_effect_tech_unit_stat_melee_damage_minotaurs_ghorgon_cygor_giants	Weapon strength: %+n% for Minotaur, Cygor, Giant and Ghorgon units	true
effects_description_wh2_dlc17_effect_melee_defence_bst_chariots	Melee defence: %+n for Razorgor Chariots, Razorgor Herd and Tuskgor Chariots units	true
effects_description_wh2_dlc17_effect_missile_resistance_ghorgon_giant	Missile resistance: %n% for Ghorgon and Giant units	true
effects_description_wh2_dlc17_effect_ability_enable_regeneration_spawn_jabberslythe	Passive ability: "Regeneration" for Chaos Spawn and Jabberslythe units	true
effects_description_wh2_dlc13_effect_nakai_defenders_army_dummy	A non-replenishing army of Blessed units will spawn for the Defenders of the Great Plan at their capital.	true
effects_description_wh_dlc03_best_cygor_ammo	Ammunition: %+n% for Cygor units	true
effects_description_wh_dlc08_effect_luminark_ammo	Ammunition: %+n% for Luminark units	true
effects_description_wh2_dlc15_effect_battle_bonus_vs_large_slayers	Bonus vs Large: %+n for Slayer units	true
effects_description_wh2_main_effect_skill_ward_save_magic_hef_archers_seaguard_boltthrower_rank7	Magic resistance: %n% for Archers, Lothern Sea Guard and Bolt Thrower units {{tr:rank7}}	true
effects_description_wh_pro02_effect_varghulfs_melee_attack	Melee attack: %+n for Varghulf units	true
effects_description_wh_dlc06_effect_missile_damage_rangers_dwarf	Missile strength: %+n% for Ranger units	true
effects_description_wh_dlc08_effect_luminark_reload_time	Reload time reduction: %+n% for Luminark units	true
effects_description_wh_dlc06_effect_reload_decrease_rangers_dwarf	Reload time reduction: %+n% for Ranger units	true
effects_description_wh_dlc06_effect_upkeep_decrease_rangers_dwarf	Upkeep: %+n% for Ranger units	true
effects_description_wh2_dlc17_effect_bonus_vs_infantry_increase_clerical_units	Bonus vs Infantry: %+n for Flagellants, Empire Knights and Free Company Militia units	true
effects_description_wh2_dlc17_effect_charge_bonus_increase_clerical_units	Charge bonus: %+n for Flagellants, Empire Knights and Free Company Militia units	true
effects_description_wh2_dlc17_effect_melee_defence_increase_clerical_units	Melee defence: %+n for Flagellants, Empire Knights and Free Company Militia units	true
effects_description_wh2_dlc17_effect_ability_enable_wayfarer_clerical_units	Passive ability: "Wayfarer" for Flagellants, Empire Knights and Free Company Militia units	true
effects_description_wh2_dlc17_effect_physical_resistance_increase_clerical_units	Physical resistance: %n% for Flagellants, Empire Knights and Free Company Militia units	true
effects_description_wh2_dlc17_effect_speed_increase_clerical_units	Speed: %+n% for Flagellants, Empire Knights and Free Company Militia units	true
effects_description_wh2_main_effect_armour_increase_dinosaurs	Armour: %+n for Stegadon, Bastiladon, Terradon, Ripperdactyl, Carnosaur, Troglodon and Dread Saurian units	true
effects_description_wh2_main_effect_morale_increase_dinosaurs	Leadership: %+n for Stegadon, Bastiladon, Terradon, Ripperdactyl, Carnosaur, Troglodon and Dread Saurian units	true
effects_description_wh2_main_effect_tech_recruitment_cost_reduction_skv_ratogres_hellpit	Recruitment cost: %+n% for Rat Ogres, Mutant Rat Orgre and Hell Pit Abomination units	true
effects_description_wh2_main_effect_tech_charge_speed_increase_skv_ratogres	Charge bonus: %+n for Rat Ogres and Mutant Rat Ogre units	true
effects_description_wh2_main_effect_tech_melee_damage_increase_skv_ratogres	Weapon strength: %+n% for Rat Ogres and Mutant Rat Ogre units	true
