key	text	tooltip
#Loc PackedFile	1	text/db/zzz_sm0_building_culture_variants__.loc
building_culture_variants_name_wh2_main_special_settlement_colony_minor_brt_ruin	Ruined Elven Colony	true
building_culture_variants_name_wh2_main_special_settlement_colony_minor_brt_1	Tiny Occupied Elven Colony	true
building_culture_variants_name_wh2_main_special_settlement_colony_minor_brt_3	Occupied Elven Colony	true
building_culture_variants_name_wh2_main_special_settlement_colony_minor_brt_2	Small Occupied Elven Colony	true
building_culture_variants_name_wh2_dlc17_bst_special_settlement_konquata_3wh_dlc03_bst_beastmen	Rune-Covered Herdstone	true
building_culture_variants_name_wh2_dlc17_bst_special_settlement_konquata_4wh_dlc03_bst_beastmen	Bone-Strewn Herdstone	true
building_culture_variants_name_wh2_dlc17_bst_special_settlement_konquata_5wh_dlc03_bst_beastmen	Bone-Strewn Herdstone	true
building_culture_variants_name_wh2_dlc17_bst_special_settlement_konquata_ruinwh_dlc03_bst_beastmen	Ruined Herdstone	true
building_culture_variants_name_wh2_dlc17_bst_special_settlement_konquata_1wh_dlc03_bst_beastmen	Herdstone	true
building_culture_variants_name_wh2_dlc17_bst_special_settlement_konquata_2wh_dlc03_bst_beastmen	Rune-Covered Herdstone	true
